case,model_seed,history,alpha,feature_dim,active_coefficients,validation_h8_mae,selected
bestest_hydronic_heat_pump,202608013,40,100000,531,2128,0.62558915510234203,False
bestest_hydronic_heat_pump,202608013,4,1,63,256,0.62924323585756581,False
bestest_hydronic_heat_pump,202608013,24,100000,323,1296,0.63213618573943198,False
bestest_hydronic_heat_pump,202608013,16,1,219,880,0.64260852737639207,False
bestest_hydronic_heat_pump,202608013,16,100000,219,880,0.64776752021153139,False
bestest_hydronic_heat_pump,202608013,8,0.10000000000000001,115,464,0.65339421213918747,False
bestest_hydronic_heat_pump,202608013,8,100000,115,464,0.66458630934590945,False
bestest_hydronic_heat_pump,202608013,4,100000,63,256,0.6896507510044938,False
bestest_hydronic_heat_pump,202608013,24,0.01,323,1296,0.70088723804831621,False
bestest_hydronic_heat_pump,202608013,4,0.01,63,256,0.78419929435546243,False
bestest_hydronic_heat_pump,202608013,16,0.01,219,880,0.96555141604641448,False
bestest_hydronic_heat_pump,202608013,4,0.001,63,256,1.0166269902473015,False
bestest_hydronic_heat_pump,202608013,8,0.01,115,464,1.0564905039913053,False
bestest_hydronic_heat_pump,202608013,16,0.10000000000000001,219,880,1.1154451021874681,False
bestest_hydronic_heat_pump,202608013,24,0.001,323,1296,1.6512419472737949,False
bestest_hydronic_heat_pump,202608013,8,0.001,115,464,2.3207037656400997,False
bestest_hydronic_heat_pump,202608013,8,0.0001,115,464,6.4418663714394127,False
bestest_hydronic_heat_pump,202608013,24,0.0001,323,1296,8.3610098415776157,False
bestest_hydronic_heat_pump,202608013,16,0.001,219,880,11.213714612257075,False
bestest_hydronic_heat_pump,202608013,16,0.0001,219,880,39.423831957627222,False
bestest_hydronic_heat_pump,202608014,24,10,323,1296,0.56013643265692159,True
bestest_hydronic_heat_pump,202608014,24,1,323,1296,0.56091715218774429,False
bestest_hydronic_heat_pump,202608014,16,100,219,880,0.56331475063355019,False
bestest_hydronic_heat_pump,202608014,24,100,323,1296,0.56360165143788143,False
bestest_hydronic_heat_pump,202608014,40,10000,531,2128,0.57171508521927927,False
bestest_hydronic_heat_pump,202608014,24,1000,323,1296,0.57259552780442324,False
bestest_hydronic_heat_pump,202608014,8,1000,115,464,0.57359505053591608,False
bestest_hydronic_heat_pump,202608014,8,100,115,464,0.57434754431719781,False
bestest_hydronic_heat_pump,202608014,16,1000,219,880,0.57448337033492414,False
bestest_hydronic_heat_pump,202608014,4,100,63,256,0.57465034159090544,False
bestest_hydronic_heat_pump,202608014,16,10,219,880,0.57493262622105124,False
bestest_hydronic_heat_pump,202608014,40,1000,531,2128,0.57897923082981362,False
bestest_hydronic_heat_pump,202608014,4,10,63,256,0.5801345312068763,False
bestest_hydronic_heat_pump,202608014,24,10000,323,1296,0.58083638179352537,False
bestest_hydronic_heat_pump,202608014,4,0.10000000000000001,63,256,0.58160852536731544,False
bestest_hydronic_heat_pump,202608014,8,1,115,464,0.58435964200652879,False
bestest_hydronic_heat_pump,202608014,40,100,531,2128,0.58473710441978566,False
bestest_hydronic_heat_pump,202608014,8,10,115,464,0.58867191902230309,False
bestest_hydronic_heat_pump,202608014,4,1000,63,256,0.58931491125722935,False
bestest_hydronic_heat_pump,202608014,16,10000,219,880,0.59098798873502334,False
bestest_hydronic_heat_pump,202608014,24,0.10000000000000001,323,1296,0.59108598344743812,False
bestest_hydronic_heat_pump,202608014,40,10,531,2128,0.5924509268096203,False
bestest_hydronic_heat_pump,202608014,8,10000,115,464,0.59326210443978311,False
bestest_hydronic_heat_pump,202608014,40,1,531,2128,0.59594288723031918,False
bestest_hydronic_heat_pump,202608014,40,0.10000000000000001,531,2128,0.59645559210627241,False
bestest_hydronic_heat_pump,202608014,40,0.01,531,2128,0.59650934611655859,False
bestest_hydronic_heat_pump,202608014,40,0.001,531,2128,0.59651474560641271,False
bestest_hydronic_heat_pump,202608014,40,0.0001,531,2128,0.59651526390217646,False
bestest_hydronic_heat_pump,202608014,4,1,63,256,0.60750827079088066,False
bestest_hydronic_heat_pump,202608014,4,10000,63,256,0.6101565315062466,False
bestest_hydronic_heat_pump,202608014,40,100000,531,2128,0.61983161913521068,False
bestest_hydronic_heat_pump,202608014,24,100000,323,1296,0.6289228090226795,False
bestest_hydronic_heat_pump,202608014,16,1,219,880,0.63161991925857519,False
bestest_hydronic_heat_pump,202608014,16,100000,219,880,0.64603363202565078,False
bestest_hydronic_heat_pump,202608014,8,100000,115,464,0.66169274844937698,False
bestest_hydronic_heat_pump,202608014,8,0.10000000000000001,115,464,0.66388801262739061,False
bestest_hydronic_heat_pump,202608014,4,0.01,63,256,0.68186804974781978,False
bestest_hydronic_heat_pump,202608014,4,100000,63,256,0.68835846128027156,False
bestest_hydronic_heat_pump,202608014,4,0.0001,63,256,0.70280690337557028,False
bestest_hydronic_heat_pump,202608014,16,0.10000000000000001,219,880,0.77464836089928746,False
bestest_hydronic_heat_pump,202608014,4,0.001,63,256,0.8326943906303057,False
bestest_hydronic_heat_pump,202608014,8,0.01,115,464,1.1591875929534332,False
bestest_hydronic_heat_pump,202608014,24,0.01,323,1296,1.173091132992224,False
bestest_hydronic_heat_pump,202608014,24,0.001,323,1296,1.3647258365773169,False
bestest_hydronic_heat_pump,202608014,16,0.01,219,880,1.5972440835237367,False
bestest_hydronic_heat_pump,202608014,8,0.001,115,464,2.6989698849678443,False
bestest_hydronic_heat_pump,202608014,24,0.0001,323,1296,7.8275592823652431,False
bestest_hydronic_heat_pump,202608014,8,0.0001,115,464,7.8404564549296838,False
bestest_hydronic_heat_pump,202608014,16,0.001,219,880,10.055768585082713,False
bestest_hydronic_heat_pump,202608014,16,0.0001,219,880,33.351015224297406,False
bestest_hydronic_heat_pump,202608015,24,10,323,1296,0.55873203772864177,True
bestest_hydronic_heat_pump,202608015,16,100,219,880,0.55917818439393718,False
bestest_hydronic_heat_pump,202608015,24,100,323,1296,0.56153779693184724,False
bestest_hydronic_heat_pump,202608015,24,1,323,1296,0.56198966123009808,False
bestest_hydronic_heat_pump,202608015,16,10,219,880,0.56524003176494564,False
bestest_hydronic_heat_pump,202608015,40,10000,531,2128,0.57020634084469013,False
bestest_hydronic_heat_pump,202608015,24,1000,323,1296,0.57058069756039553,False
bestest_hydronic_heat_pump,202608015,16,1000,219,880,0.57247487544923936,False
bestest_hydronic_heat_pump,202608015,8,1000,115,464,0.57249452926119726,False
bestest_hydronic_heat_pump,202608015,8,100,115,464,0.57344515720882605,False
bestest_hydronic_heat_pump,202608015,4,100,63,256,0.57694906492456988,False
bestest_hydronic_heat_pump,202608015,24,10000,323,1296,0.57743953403138482,False
bestest_hydronic_heat_pump,202608015,40,1000,531,2128,0.57879381298098465,False
bestest_hydronic_heat_pump,202608015,4,10,63,256,0.58420140361506712,False
bestest_hydronic_heat_pump,202608015,40,100,531,2128,0.58486054880502025,False
bestest_hydronic_heat_pump,202608015,16,10000,219,880,0.58839643608189485,False
bestest_hydronic_heat_pump,202608015,8,10,115,464,0.58968484421791678,False
bestest_hydronic_heat_pump,202608015,4,1000,63,256,0.59244149633319354,False
bestest_hydronic_heat_pump,202608015,8,10000,115,464,0.5928227610910406,False
bestest_hydronic_heat_pump,202608015,40,10,531,2128,0.59383067728769379,False
bestest_hydronic_heat_pump,202608015,4,0.10000000000000001,63,256,0.59417564085614716,False
bestest_hydronic_heat_pump,202608015,40,1,531,2128,0.59789702626818664,False
bestest_hydronic_heat_pump,202608015,40,0.10000000000000001,531,2128,0.59850361504855865,False
bestest_hydronic_heat_pump,202608015,40,0.01,531,2128,0.59856733914039151,False
