scope,condition,policy,cases,case_median_scores,mean_of_case_medians,median_of_case_medians,population_inference
all_three_cases,zone_bias_positive,deterministic_wm,3,"{""bestest_hydronic_heat_pump"":-0.06204940363697714,""multizone_office_simple_air"":-6.412838032997515e-08,""twozone_apartment_hydronic"":-0.01826256346055196}",-0.026770677075303145,-0.01826256346055196,False
all_three_cases,zone_bias_positive,rc_supervisory_selector,3,"{""bestest_hydronic_heat_pump"":-0.026846914622730415,""multizone_office_simple_air"":4.927587039066554e-08,""twozone_apartment_hydronic"":0.060815127277373995}",0.01132275397683799,4.927587039066554e-08,False
all_three_cases,zone_bias_positive,tuned_rule_based,3,"{""bestest_hydronic_heat_pump"":-0.040312524392318166,""multizone_office_simple_air"":4.912923816328897e-08,""twozone_apartment_hydronic"":0.01515085983908444}",-0.0083872051413318542,4.9129238163288973e-08,False
all_three_cases,zone_drift_negative,constant_zero,3,"{""bestest_hydronic_heat_pump"":0.0,""multizone_office_simple_air"":0.0,""twozone_apartment_hydronic"":0.0}",0,0,False
all_three_cases,zone_drift_negative,legacy_rssm,3,"{""bestest_hydronic_heat_pump"":-0.04504073289219181,""multizone_office_simple_air"":-9.345763105070289e-08,""twozone_apartment_hydronic"":-0.028478777714423947}",-0.024506534688082268,-0.028478777714423947,False
all_three_cases,zone_drift_negative,direct_h8_rssm,3,"{""bestest_hydronic_heat_pump"":-0.058758954231131304,""multizone_office_simple_air"":2.527795232011124e-07,""twozone_apartment_hydronic"":-0.0003384414264923862}",-0.019699047626033497,-0.0003384414264923862,False
all_three_cases,zone_drift_negative,deterministic_wm,3,"{""bestest_hydronic_heat_pump"":-0.05199474378032225,""multizone_office_simple_air"":-3.563916646263477e-08,""twozone_apartment_hydronic"":-0.028782615613346343}",-0.026925798344278353,-0.028782615613346343,False
all_three_cases,zone_drift_negative,rc_supervisory_selector,3,"{""bestest_hydronic_heat_pump"":-0.03739055857043673,""multizone_office_simple_air"":4.158785933228097e-09,""twozone_apartment_hydronic"":-0.008347918525467145}",-0.01524615764570598,-0.0083479185254671448,False
all_three_cases,zone_drift_negative,tuned_rule_based,3,"{""bestest_hydronic_heat_pump"":-0.03932405342276105,""multizone_office_simple_air"":-3.3962701064830795e-08,""twozone_apartment_hydronic"":0.03782886456198095}",-0.00049840760782705548,-3.3962701064830795e-08,False
all_three_cases,zone_drift_positive,constant_zero,3,"{""bestest_hydronic_heat_pump"":0.0,""multizone_office_simple_air"":0.0,""twozone_apartment_hydronic"":0.0}",0,0,False
all_three_cases,zone_drift_positive,legacy_rssm,3,"{""bestest_hydronic_heat_pump"":-0.030749245084225958,""multizone_office_simple_air"":-9.345763105070289e-08,""twozone_apartment_hydronic"":-0.013690347782723235}",-0.014813228774860082,-0.013690347782723235,False
all_three_cases,zone_drift_positive,direct_h8_rssm,3,"{""bestest_hydronic_heat_pump"":-0.06290784770857215,""multizone_office_simple_air"":2.527795232011124e-07,""twozone_apartment_hydronic"":-0.0003384414264923862}",-0.021082012118513779,-0.0003384414264923862,False
all_three_cases,zone_drift_positive,deterministic_wm,3,"{""bestest_hydronic_heat_pump"":-0.055648644178981174,""multizone_office_simple_air"":-6.910949347939855e-08,""twozone_apartment_hydronic"":-0.023154821492766656}",-0.026267844927080435,-0.023154821492766656,False
all_three_cases,zone_drift_positive,rc_supervisory_selector,3,"{""bestest_hydronic_heat_pump"":-0.026846914622730415,""multizone_office_simple_air"":4.897894998193215e-08,""twozone_apartment_hydronic"":0.060815127277373995}",0.01132275387786452,4.8978949981932147e-08,False
all_three_cases,zone_drift_positive,tuned_rule_based,3,"{""bestest_hydronic_heat_pump"":-0.040312524392318166,""multizone_office_simple_air"":5.770161546456778e-08,""twozone_apartment_hydronic"":0.01515085983908444}",-0.0083872022838727533,5.7701615464567782e-08,False
all_three_cases,zone_stuck,constant_zero,3,"{""bestest_hydronic_heat_pump"":0.0,""multizone_office_simple_air"":0.0,""twozone_apartment_hydronic"":0.0}",0,0,False
all_three_cases,zone_stuck,legacy_rssm,3,"{""bestest_hydronic_heat_pump"":-0.030749245084225958,""multizone_office_simple_air"":-9.345763105070289e-08,""twozone_apartment_hydronic"":-0.013690347782723235}",-0.014813228774860082,-0.013690347782723235,False
all_three_cases,zone_stuck,direct_h8_rssm,3,"{""bestest_hydronic_heat_pump"":-0.06290784770857215,""multizone_office_simple_air"":2.527795232011124e-07,""twozone_apartment_hydronic"":-0.0003384414264923862}",-0.021082012118513779,-0.0003384414264923862,False
all_three_cases,zone_stuck,deterministic_wm,3,"{""bestest_hydronic_heat_pump"":-0.055648644178981174,""multizone_office_simple_air"":-8.495215219763044e-08,""twozone_apartment_hydronic"":-0.006182658232757138}",-0.02061046245463017,-0.0061826582327571379,False
all_three_cases,zone_stuck,rc_supervisory_selector,3,"{""bestest_hydronic_heat_pump"":-0.05122367684921701,""multizone_office_simple_air"":9.03216935416112e-09,""twozone_apartment_hydronic"":0.034390576182466465}",-0.0056110305448603985,9.0321693541611201e-09,False
all_three_cases,zone_stuck,tuned_rule_based,3,"{""bestest_hydronic_heat_pump"":-0.03932405342276105,""multizone_office_simple_air"":-3.3962701064830795e-08,""twozone_apartment_hydronic"":0.023448742932248735}",-0.0052917814844044607,-3.3962701064830795e-08,False
