case,condition,candidate,reference,endpoint,windows,median_paired_difference,mean_paired_difference,ci95_low,ci95_high,improved_windows,tied_windows
bestest_hydronic_heat_pump,clean,tuned_rule_based,deterministic_wm,tdis_tot,12,1.1791305420671971e-06,0.37192702641119357,0,0.20297913975527099,2,4
bestest_hydronic_heat_pump,clean,tuned_rule_based,deterministic_wm,control_cost_proxy,12,0,-0.014566315813502298,-0.29952189019402198,0.15903162044127939,4,5
bestest_hydronic_heat_pump,clean,tuned_rule_based,deterministic_wm,control_discomfort_kh,12,1.3056431100721966e-06,0.3677930172331294,0,0.21723843405756327,2,4
bestest_hydronic_heat_pump,clean,tuned_rule_based,deterministic_wm,control_energy_kwh,12,0,-0.19142106936014835,-1.5334920878855165,0.30900078507919915,4,5
bestest_hydronic_heat_pump,zone_bias_negative,legacy_rssm,constant_zero,operational_score,12,-0.051290275205085847,-0.043358329941535233,-0.083474466202003217,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,legacy_rssm,constant_zero,cost_tot,12,-0.012493923288197685,-0.011755283996746003,-0.020517945225703278,0,8,4
bestest_hydronic_heat_pump,zone_bias_negative,legacy_rssm,constant_zero,tdis_tot,12,2.1979695775525938,4.6976702105810624,0,7.9823271205354409,2,2
bestest_hydronic_heat_pump,zone_bias_negative,legacy_rssm,constant_zero,control_cost_proxy,12,-2.3104125643551905,-2.2413992289712947,-3.9599221974883885,0,8,4
bestest_hydronic_heat_pump,zone_bias_negative,legacy_rssm,constant_zero,control_discomfort_kh,12,2.3632832433192092,4.8091528129220729,0,8.0734473808960274,2,2
bestest_hydronic_heat_pump,zone_bias_negative,legacy_rssm,constant_zero,control_energy_kwh,12,-8.3182595376615538,-8.4256900453609003,-15.382698981574761,0,8,4
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,constant_zero,operational_score,12,-0.058758954231131304,-0.050345782542785322,-0.082634916623024329,-1.8633545699436527e-08,9,1
