case,condition,policy,endpoint,windows,median,mean,minimum,maximum
twozone_apartment_hydronic,zone_stuck,legacy_rssm,operational_score,12,-0.013690347782723235,-0.013302404067540305,-0.12456946082345774,0.13969699772766209
twozone_apartment_hydronic,zone_stuck,legacy_rssm,cost_tot,12,0.028530078798850778,0.036264627916973699,-8.8813008068261648e-36,0.10504635382747102
twozone_apartment_hydronic,zone_stuck,legacy_rssm,tdis_tot,12,11.74942817092024,16.86593675581214,1.7205103116029123,59.354937888819116
twozone_apartment_hydronic,zone_stuck,legacy_rssm,control_cost_proxy,12,0.50405431317209737,0.99495626122615233,0,2.9813040036861356
twozone_apartment_hydronic,zone_stuck,legacy_rssm,control_discomfort_kh,12,8.177385870413282,14.581478901431003,0,54.52439691098779
twozone_apartment_hydronic,zone_stuck,legacy_rssm,control_energy_kwh,12,2.6529174377478806,5.0684036765821876,0,15.13320401327455
twozone_apartment_hydronic,zone_stuck,direct_h8_rssm,operational_score,12,-0.0003384414264923862,0.02108440660435261,-0.067275345646104601,0.13262199257706583
twozone_apartment_hydronic,zone_stuck,direct_h8_rssm,cost_tot,12,0.026879346512393744,0.035965456632330993,-8.8793847529954274e-37,0.11768444054442942
twozone_apartment_hydronic,zone_stuck,direct_h8_rssm,tdis_tot,12,15.118108843433987,25.088129565715146,1.7205103116029123,76.494828621455142
twozone_apartment_hydronic,zone_stuck,direct_h8_rssm,control_cost_proxy,12,0.44772911198250637,0.99599010479710604,0,3.6110549747576313
twozone_apartment_hydronic,zone_stuck,direct_h8_rssm,control_discomfort_kh,12,12.11803635325068,22.845527146478602,0,71.708602500025449
twozone_apartment_hydronic,zone_stuck,direct_h8_rssm,control_energy_kwh,12,2.3564690104342438,5.0249044776204812,0,18.372549851178121
twozone_apartment_hydronic,zone_stuck,deterministic_wm,operational_score,12,-0.0061826582327571379,-0.033082825328948677,-0.14861172747611956,0.072612833090246715
twozone_apartment_hydronic,zone_stuck,deterministic_wm,cost_tot,12,0.031339267861450235,0.034979070540648798,-8.5496628488721264e-36,0.10504635382747102
twozone_apartment_hydronic,zone_stuck,deterministic_wm,tdis_tot,12,4.7987586951305286,14.427810186210154,0.94123711895031259,54.354146425065458
twozone_apartment_hydronic,zone_stuck,deterministic_wm,control_cost_proxy,12,0.67394174520701211,0.95905204626786933,0,2.9813040036861356
twozone_apartment_hydronic,zone_stuck,deterministic_wm,control_discomfort_kh,12,2.2339629438756106,12.112019348356474,0,49.431092245395718
twozone_apartment_hydronic,zone_stuck,deterministic_wm,control_energy_kwh,12,3.511472792541853,4.8628319989303828,0,14.332841093304067
twozone_apartment_hydronic,zone_stuck,rc_supervisory_selector,operational_score,12,0.034390576182466465,0.0070172041970955898,-0.15760968541044379,0.13914856776713194
twozone_apartment_hydronic,zone_stuck,rc_supervisory_selector,cost_tot,12,0.037489380091834557,0.039380435321203326,-1.3790370637862868e-35,0.10504635382747102
twozone_apartment_hydronic,zone_stuck,rc_supervisory_selector,tdis_tot,12,11.700431019866912,16.675539223180795,1.7205103116029123,52.482571174726019
twozone_apartment_hydronic,zone_stuck,rc_supervisory_selector,control_cost_proxy,12,0.82287273215721313,1.1248181004539552,0,2.9813040036861356
twozone_apartment_hydronic,zone_stuck,rc_supervisory_selector,control_discomfort_kh,12,8.6403759077630085,14.381297410684878,0,47.544994820454818
twozone_apartment_hydronic,zone_stuck,rc_supervisory_selector,control_energy_kwh,12,4.3309091166169109,5.7212665455771701,0,15.156151720692158
twozone_apartment_hydronic,zone_stuck,tuned_rule_based,operational_score,12,0.023448742932248735,0.0064251655874148798,-0.10576573919397327,0.13486813323119304
twozone_apartment_hydronic,zone_stuck,tuned_rule_based,cost_tot,12,0.036848904778053714,0.039022030575739955,-1.1618382939223102e-35,0.12255503702725855
twozone_apartment_hydronic,zone_stuck,tuned_rule_based,tdis_tot,12,4.4985741013806049,17.249311508135452,0.94123711895031259,63.266111987751884
twozone_apartment_hydronic,zone_stuck,tuned_rule_based,control_cost_proxy,12,0.82983284747022856,1.1263158614804765,0,3.6873975764258189
twozone_apartment_hydronic,zone_stuck,tuned_rule_based,control_discomfort_kh,12,2.4292853692686904,15.004950101412353,0,58.431265620248666
twozone_apartment_hydronic,zone_stuck,tuned_rule_based,control_energy_kwh,12,4.2288777082767988,5.8143044301418696,0,18.773831503017135
multizone_office_simple_air,clean,constant_zero,operational_score,12,0,0,0,0
multizone_office_simple_air,clean,constant_zero,cost_tot,12,0.011787458150883843,0.013149663214903079,0.0020454811406701904,0.032232186563263349
multizone_office_simple_air,clean,constant_zero,tdis_tot,12,0.74103463601236652,0.72680798794684565,0,1.8919021644153311
multizone_office_simple_air,clean,constant_zero,control_cost_proxy,12,16.720933549304434,17.197639776720404,2.1060106014214313,40.475113246800163
multizone_office_simple_air,clean,constant_zero,control_discomfort_kh,12,0.24785459066649196,0.34247877780635011,0,0.85069536985713512
multizone_office_simple_air,clean,constant_zero,control_energy_kwh,12,146.58121007476342,155.45968519428067,18.874586639664997,379.95149819135281
multizone_office_simple_air,clean,legacy_rssm,operational_score,12,-9.345763105070289e-08,-0.001656969599753484,-0.009963110957891954,3.4026072759684609e-07
multizone_office_simple_air,clean,legacy_rssm,cost_tot,12,0.010913108296179671,0.01299588955585497,0.0020454754472637921,0.032232209583796016
multizone_office_simple_air,clean,legacy_rssm,tdis_tot,12,1.0717819606737455,0.94792865300880624,0,1.8919144590531805
multizone_office_simple_air,clean,legacy_rssm,control_cost_proxy,12,16.02892194686174,16.94515721067086,2.106011488557356,40.481396907829108
multizone_office_simple_air,clean,legacy_rssm,control_discomfort_kh,12,0.51539076150238827,0.38776541742652171,0,0.85079352842868161
multizone_office_simple_air,clean,legacy_rssm,control_energy_kwh,12,133.39819780386705,153.18301887809466,18.874604732369797,380.01561818560646
multizone_office_simple_air,clean,direct_h8_rssm,operational_score,12,2.5277952320111239e-07,0.0017971412158061112,-1.9313649472417337e-06,0.011602533311425538
multizone_office_simple_air,clean,direct_h8_rssm,cost_tot,12,0.012043472556374692,0.013259667505722073,0.0020454754472637921,0.032232209583796016
multizone_office_simple_air,clean,direct_h8_rssm,tdis_tot,12,0.7514052091621557,0.79591300447172053,0,1.8919116563267162
multizone_office_simple_air,clean,direct_h8_rssm,control_cost_proxy,12,16.999425911121641,17.395854798215684,2.106011488557356,40.481396907829108
multizone_office_simple_air,clean,direct_h8_rssm,control_discomfort_kh,12,0.24784144676222297,0.34247818457649853,0,0.85079352842868161
multizone_office_simple_air,clean,direct_h8_rssm,control_energy_kwh,12,148.31923360370308,156.76529395156544,18.874604732369797,379.98698913213059
multizone_office_simple_air,clean,deterministic_wm,operational_score,12,-1.0269414061458329e-07,-0.0016571000366595978,-0.009963110957891954,3.1065571041551339e-06
multizone_office_simple_air,clean,deterministic_wm,cost_tot,12,0.010913099848471459,0.012995886963471421,0.0020454738363350935,0.032232392645916104
multizone_office_simple_air,clean,deterministic_wm,tdis_tot,12,1.0717806291272642,0.94789474875503077,0,1.8919168965460993
multizone_office_simple_air,clean,deterministic_wm,control_cost_proxy,12,16.028897754316066,16.943963400636466,2.1060102249891246,40.47444076618244
multizone_office_simple_air,clean,deterministic_wm,control_discomfort_kh,12,0.51526259332034385,0.38774373192602357,0,0.85079522155869824
multizone_office_simple_air,clean,deterministic_wm,control_energy_kwh,12,133.3980658149587,153.17458780383438,18.874587390016845,379.95641040456644
multizone_office_simple_air,clean,rc_supervisory_selector,operational_score,12,5.7985693162854677e-09,-2.1204831153968575e-06,-0.009963110957891954,0.010679682163759035
multizone_office_simple_air,clean,rc_supervisory_selector,cost_tot,12,0.011639925806732726,0.01311701301542964,0.0020454754472637921,0.032232256138462291
multizone_office_simple_air,clean,rc_supervisory_selector,tdis_tot,12,0.97890483780833304,0.90367404747937219,0,1.8919213082423607
multizone_office_simple_air,clean,rc_supervisory_selector,control_cost_proxy,12,16.472508683255583,17.145967154580958,2.106011488557356,40.470833957306283
multizone_office_simple_air,clean,rc_supervisory_selector,control_discomfort_kh,12,0.38228413161780139,0.36556191329665566,0,0.85068011522473341
multizone_office_simple_air,clean,rc_supervisory_selector,control_energy_kwh,12,143.09474979760409,154.86028458654138,18.874604732369797,379.95263992750654
multizone_office_simple_air,clean,tuned_rule_based,operational_score,12,-3.3962701064830795e-08,0.0010446976840355821,-0.00073860817025762514,0.010187433204740488
multizone_office_simple_air,clean,tuned_rule_based,cost_tot,12,0.011996231551435369,0.01320499526630157,0.0020454751265412546,0.032232353415347241
multizone_office_simple_air,clean,tuned_rule_based,tdis_tot,12,0.76199465184653126,0.81385193576390258,0,1.8919113211391114
multizone_office_simple_air,clean,tuned_rule_based,control_cost_proxy,12,16.936691450101033,17.300474744608653,2.106010832372859,40.469898421880274
multizone_office_simple_air,clean,tuned_rule_based,control_discomfort_kh,12,0.24784198920118428,0.34246453117990211,0,0.85072637260229556
multizone_office_simple_air,clean,tuned_rule_based,control_energy_kwh,12,147.08937411291919,155.97743067206855,18.874589692474991,379.96937405821654
multizone_office_simple_air,zone_bias_negative,constant_zero,operational_score,12,0,0,0,0
multizone_office_simple_air,zone_bias_negative,constant_zero,cost_tot,12,0.011787458150883843,0.013149663214903079,0.0020454811406701904,0.032232186563263349
multizone_office_simple_air,zone_bias_negative,constant_zero,tdis_tot,12,0.74103463601236652,0.72680798794684565,0,1.8919021644153311
multizone_office_simple_air,zone_bias_negative,constant_zero,control_cost_proxy,12,16.720933549304434,17.197639776720404,2.1060106014214313,40.475113246800163
multizone_office_simple_air,zone_bias_negative,constant_zero,control_discomfort_kh,12,0.24785459066649196,0.34247877780635011,0,0.85069536985713512
multizone_office_simple_air,zone_bias_negative,constant_zero,control_energy_kwh,12,146.58121007476342,155.45968519428067,18.874586639664997,379.95149819135281
multizone_office_simple_air,zone_bias_negative,legacy_rssm,operational_score,12,-9.345763105070289e-08,-0.0016566913594444437,-0.009963110957891954,3.67914443608193e-06
multizone_office_simple_air,zone_bias_negative,legacy_rssm,cost_tot,12,0.010913108296179671,0.01299590793915629,0.0020454754472637921,0.032232430183411875
multizone_office_simple_air,zone_bias_negative,legacy_rssm,tdis_tot,12,1.0717819606737455,0.94792818085344732,0,1.8919144590531805
multizone_office_simple_air,zone_bias_negative,legacy_rssm,control_cost_proxy,12,16.02892194686174,16.944568822946877,2.106011488557356,40.474336255141296
multizone_office_simple_air,zone_bias_negative,legacy_rssm,control_discomfort_kh,12,0.51539076150238827,0.38776521124828162,0,0.85079105428980029
multizone_office_simple_air,zone_bias_negative,legacy_rssm,control_energy_kwh,12,133.39819780386705,153.17946689496753,18.874604732369797,380.01561818560646
multizone_office_simple_air,zone_bias_negative,direct_h8_rssm,operational_score,12,3.4084228309654984e-07,0.0017972213437278458,-4.3132272450697685e-06,0.011602533311425538
multizone_office_simple_air,zone_bias_negative,direct_h8_rssm,cost_tot,12,0.012043472556374692,0.013259672750267381,0.0020454754472637921,0.032232430183411875
multizone_office_simple_air,zone_bias_negative,direct_h8_rssm,tdis_tot,12,0.7514052091621557,0.79591315176314625,0,1.8919185717786022
multizone_office_simple_air,zone_bias_negative,direct_h8_rssm,control_cost_proxy,12,16.999425911121641,17.395052152738089,2.106011488557356,40.474336255141296
multizone_office_simple_air,zone_bias_negative,direct_h8_rssm,control_discomfort_kh,12,0.24784144676222297,0.34247639750103431,0,0.85079105428980029
multizone_office_simple_air,zone_bias_negative,direct_h8_rssm,control_energy_kwh,12,148.31923360370308,156.75940843057694,18.874604732369797,379.95896939790231
